╔══════════════════════════════════════════════════════════════╗
║          THE SEED — MARKET EVOLUTION ENGINE                  ║
║  Config: market-config.paper.json                          ║
║  Mode: Paper                                               ║
║  Capital: $10,000                                          ║
║  Population: 50                                            ║
╚══════════════════════════════════════════════════════════════╝

[PAPER] Starting paper trading with live data...
[PAPER] Loading genome from: output_phase5/best_market_genome.json
[PAPER] Genome loaded: 2d4bc127-0090-4524-a73e-8818488b0a2c
[PAPER]   CPPN nodes: 25, connections: 87
[PAPER] Compiling brain...
[PAPER] Brain compiled: 477 neurons, 879 synapses
[PAPER] Connecting to live data feeds...
[PAPER] Trade log: output_paper\trades.jsonl
[PAPER] Brain decisions run every 15m (matching training regime).
[PAPER] Stop-loss: 2.0% per position
[PAPER] Paper trading active. Press Ctrl+C to stop.

Feed          Price    Pos       Entry   Unrl%    Net P&L       Equity  Trades    WR  Exit  ExitRaw  rSharpe    rDD  Elapsed
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[CoinglassFeed] Warnings: Exchange balance fetch failed: The requested operation requires an element of type 'Object', but the target element has type 'Array'.
  [BRAIN] Decision #0 (every 15m) at 14:12:37 UTC | price $75,486.09
236     $ 75,920.42   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:21
238     $ 75,750.97   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:21
240     $ 75,680.77   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:21
242     $ 75,660.77   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:21
244     $ 75,602.53   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:21
246     $ 75,650.93   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:21
248     $ 75,661.68   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:22
250     $ 75,624.98   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:22
252     $ 75,640.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:22
254     $ 75,666.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:22
256     $ 75,671.43   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:22
258     $ 75,678.05   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:22
260     $ 75,697.15   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:23
262     $ 75,741.84   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:23
264     $ 75,742.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:23
266     $ 75,739.57   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:23
268     $ 75,712.05   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:23
270     $ 75,693.99   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:24
272     $ 75,690.19   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:24
